player,contract,roster_day
1506,3675000,1
1506,3675000,2
1506,3675000,5
1506,3675000,7
1506,3675000,8
1506,3675000,11
1506,3675000,17
1506,3675000,18
1506,3675000,19
1506,3675000,20
1506,3675000,22
1506,3675000,25
1506,3675000,26
1506,3675000,28
1506,3675000,32
1506,3675000,33
1506,3675000,34
1506,3675000,37
1506,3675000,39
1506,3675000,40
1506,3675000,41
1506,3675000,42
1506,3675000,43
1506,3675000,47
1506,3675000,48
1506,3675000,49
1506,3675000,51
1506,3675000,59
2285,950000,1
2285,950000,2
2285,950000,5
2285,950000,7
2285,950000,8
2285,950000,11
2285,950000,17
2285,950000,18
2285,950000,19
2285,950000,20
2285,950000,22
2285,950000,25
2285,950000,26
2285,950000,28
2285,950000,32
2285,950000,33
2285,950000,34
2285,950000,37
2285,950000,39
2285,950000,40
2285,950000,41
2285,950000,42
2285,950000,43
2285,950000,47
2285,950000,48
2285,950000,49
2285,950000,51
2285,950000,59
2733,9250000,0
2733,9250000,1
2733,9250000,2
2733,9250000,3
2733,9250000,4
2733,9250000,5
2733,9250000,6
2733,9250000,7
2733,9250000,8
2733,9250000,9
2733,9250000,10
2733,9250000,11
2733,9250000,12
2733,9250000,13
2733,9250000,14
2733,9250000,15
2733,9250000,16
2733,9250000,17
2733,9250000,18
2733,9250000,19
2733,9250000,20
2733,9250000,21
2733,9250000,22
2733,9250000,23
2733,9250000,24
2733,9250000,25
2733,9250000,26
2733,9250000,27
2733,9250000,28
2733,9250000,29
2733,9250000,30
2733,9250000,31
2733,9250000,32
2733,9250000,33
2733,9250000,34
2733,9250000,35
2733,9250000,36
2733,9250000,37
2733,9250000,38
2733,9250000,39
2733,9250000,40
2733,9250000,41
2733,9250000,42
2733,9250000,43
2733,9250000,44
2733,9250000,45
2733,9250000,46
2733,9250000,47
2733,9250000,48
2733,9250000,49
2733,9250000,50
2733,9250000,51
2733,9250000,52
2733,9250000,53
2733,9250000,54
2733,9250000,55
2733,9250000,56
2733,9250000,57
2733,9250000,58
2733,9250000,59
2733,9250000,60
4607,1750000,0
4607,1750000,1
4607,1750000,2
4607,1750000,3
4607,1750000,4
4607,1750000,5
4607,1750000,6
4607,1750000,7
4607,1750000,8
4607,1750000,9
4607,1750000,10
4607,1750000,11
4607,1750000,12
4607,1750000,13
4607,1750000,14
4607,1750000,15
4607,1750000,16
4607,1750000,17
4607,1750000,18
4607,1750000,19
4607,1750000,20
4607,1750000,21
4607,1750000,22
4607,1750000,23
4607,1750000,24
4607,1750000,25
4607,1750000,26
4607,1750000,27
4607,1750000,28
4607,1750000,29
4607,1750000,30
4607,1750000,31
4607,1750000,32
4607,1750000,33
4607,1750000,34
4607,1750000,35
4607,1750000,36
4607,1750000,37
4607,1750000,38
4607,1750000,39
4607,1750000,40
4607,1750000,41
4607,1750000,42
4607,1750000,43
4607,1750000,44
4607,1750000,45
4607,1750000,46
4607,1750000,47
4607,1750000,48
4607,1750000,49
4607,1750000,50
4607,1750000,51
4607,1750000,52
4607,1750000,53
4607,1750000,54
4607,1750000,55
4607,1750000,56
4607,1750000,57
4607,1750000,58
4607,1750000,59
4607,1750000,60
6049,975000,0
6049,975000,1
6049,975000,2
6049,975000,3
6049,975000,4
6049,975000,5
6049,975000,6
6049,975000,7
6049,975000,8
6049,975000,9
6049,975000,10
6049,975000,11
6049,975000,12
6049,975000,13
6049,975000,14
6049,975000,15
6049,975000,16
6049,975000,17
6049,975000,18
6049,975000,19
6049,975000,20
6049,975000,21
6049,975000,22
6049,975000,23
6049,975000,24
6049,975000,25
6049,975000,26
6049,975000,27
6049,975000,28
6049,975000,29
6049,975000,30
6049,975000,31
6049,975000,32
6049,975000,33
6049,975000,34
6049,975000,35
6049,975000,36
6049,975000,37
6049,975000,38
6049,975000,39
6049,975000,40
6049,975000,41
6049,975000,42
6049,975000,43
6049,975000,44
6049,975000,45
6049,975000,46
6049,975000,47
6049,975000,48
6049,975000,49
6049,975000,50
6049,975000,51
6049,975000,52
6049,975000,53
6049,975000,54
6049,975000,55
6049,975000,56
6049,975000,57
6049,975000,58
6049,975000,59
6049,975000,60
7382,7000000,0
7382,7000000,1
7382,7000000,2
7382,7000000,3
7382,7000000,4
7382,7000000,5
7382,7000000,6
7382,7000000,7
7382,7000000,8
7382,7000000,9
7382,7000000,10
7382,7000000,11
7382,7000000,12
7382,7000000,13
7382,7000000,14
7382,7000000,15
7382,7000000,16
7382,7000000,17
7382,7000000,18
7382,7000000,19
7382,7000000,20
7382,7000000,21
7382,7000000,22
7382,7000000,23
7382,7000000,24
7382,7000000,25
7382,7000000,26
7382,7000000,27
7382,7000000,28
7382,7000000,29
7382,7000000,30
7382,7000000,31
7382,7000000,32
7382,7000000,33
7382,7000000,34
7382,7000000,35
7382,7000000,36
7382,7000000,37
7382,7000000,38
7382,7000000,39
7382,7000000,40
7382,7000000,41
7382,7000000,42
7382,7000000,43
7382,7000000,44
7382,7000000,45
7382,7000000,46
7382,7000000,47
7382,7000000,48
7382,7000000,49
7382,7000000,50
7382,7000000,51
7382,7000000,52
7382,7000000,53
7382,7000000,54
7382,7000000,55
7382,7000000,56
7382,7000000,57
7382,7000000,58
7382,7000000,59
7382,7000000,60
7407,950000,0
7407,950000,1
7407,950000,2
7407,950000,3
7407,950000,4
7407,950000,5
7407,950000,6
7407,950000,7
7407,950000,8
7407,950000,9
7407,950000,10
7407,950000,11
7407,950000,12
7407,950000,13
7407,950000,14
7407,950000,15
7407,950000,16
7407,950000,17
7407,950000,18
7407,950000,19
7407,950000,20
7407,950000,21
7407,950000,22
7407,950000,23
7407,950000,24
7407,950000,25
7407,950000,26
7407,950000,27
7407,950000,28
7407,950000,29
7407,950000,30
7407,950000,31
7407,950000,32
7407,950000,33
7407,950000,34
7407,950000,35
7407,950000,36
7407,950000,37
7407,950000,38
7407,950000,39
7407,950000,40
7407,950000,41
7407,950000,42
7407,950000,43
7407,950000,44
7407,950000,45
7407,950000,46
7407,950000,47
7407,950000,48
7407,950000,49
7407,950000,50
7407,950000,51
7407,950000,52
7407,950000,53
7407,950000,54
7407,950000,55
7407,950000,56
7407,950000,57
7407,950000,58
7407,950000,59
7407,950000,60
8587,2000000,0
8587,3150000,0
8587,2000000,1
8587,3150000,1
8587,2000000,2
8587,3150000,2
8587,3150000,3
8587,2000000,4
8587,3150000,4
8587,3150000,5
8587,2000000,5
8587,2000000,6
8587,3150000,6
8587,2000000,7
8587,3150000,7
8587,3150000,8
8587,2000000,8
8587,3150000,9
8587,3150000,10
8587,2000000,11
8587,3150000,11
8587,2000000,12
8587,3150000,12
8587,3150000,13
8587,2000000,14
8587,3150000,14
8587,3150000,15
8587,3150000,16
8587,3150000,17
8587,2000000,17
8587,2000000,18
8587,3150000,18
8587,3150000,19
8587,2000000,19
8587,2000000,20
8587,3150000,20
8587,2000000,21
8587,3150000,21
8587,3150000,22
8587,2000000,22
8587,3150000,23
8587,3150000,24
8587,2000000,25
8587,3150000,25
8587,2000000,26
8587,3150000,26
8587,2000000,27
8587,3150000,27
8587,3150000,28
8587,2000000,28
8587,3150000,29
8587,3150000,30
8587,3150000,31
8587,2000000,31
8587,2000000,32
8587,3150000,32
8587,2000000,33
8587,3150000,33
8587,3150000,34
8587,2000000,34
8587,3150000,35
8587,3150000,36
8587,3150000,37
8587,2000000,37
8587,3150000,38
8587,2000000,39
8587,3150000,39
8587,3150000,40
8587,2000000,40
8587,2000000,41
8587,3150000,41
8587,3150000,42
8587,2000000,42
8587,3150000,43
8587,2000000,43
8587,3150000,44
8587,2000000,44
8587,3150000,45
8587,3150000,46
8587,2000000,47
8587,3150000,47
8587,2000000,48
8587,3150000,48
8587,3150000,49
8587,2000000,49
8587,3150000,50
8587,2000000,50
8587,2000000,51
8587,3150000,51
8587,3150000,52
8587,2000000,53
8587,3150000,53
8587,3150000,54
8587,3150000,55
8587,3150000,56
8587,2000000,56
8587,3150000,57
8587,2000000,57
8587,3150000,58
8587,2000000,58
8587,2000000,59
8587,3150000,59
8587,3150000,60
8836,7000000,0
8836,7000000,1
8836,7000000,2
8836,7000000,3
8836,7000000,4
8836,7000000,5
8836,7000000,6
8836,7000000,7
8836,7000000,8
8836,7000000,9
8836,7000000,10
8836,7000000,11
8836,7000000,12
8836,7000000,13
8836,7000000,14
8836,7000000,15
8836,7000000,16
8836,7000000,17
8836,7000000,18
8836,7000000,19
8836,7000000,20
8836,7000000,21
8836,7000000,22
8836,7000000,23
8836,7000000,24
8836,7000000,25
8836,7000000,26
8836,7000000,27
8836,7000000,28
8836,7000000,29
8836,7000000,30
8836,7000000,31
8836,7000000,32
8836,7000000,33
8836,7000000,34
8836,7000000,35
8836,7000000,36
8836,7000000,37
8836,7000000,38
8836,7000000,39
8836,7000000,40
8836,7000000,41
8836,7000000,42
8836,7000000,43
8836,7000000,44
8836,7000000,45
8836,7000000,46
8836,7000000,47
8836,7000000,48
8836,7000000,49
8836,7000000,50
8836,7000000,51
8836,7000000,52
8836,7000000,53
8836,7000000,54
8836,7000000,55
8836,7000000,56
8836,7000000,57
8836,7000000,58
8836,7000000,59
8836,7000000,60
9339,1000000,0
9339,1000000,1
9339,1000000,2
9339,1000000,3
9339,1000000,4
9339,1000000,5
9339,1000000,6
9339,1000000,7
9339,1000000,8
9339,1000000,9
9339,1000000,10
9339,1000000,11
9339,1000000,12
9339,1000000,14
9339,1000000,15
9339,1000000,17
9339,1000000,18
9339,1000000,19
9339,1000000,20
9339,1000000,21
9339,1000000,22
9339,1000000,24
9339,1000000,25
9339,1000000,26
9339,1000000,27
9339,1000000,28
9339,1000000,29
9339,1000000,30
9339,1000000,31
9339,1000000,32
9339,1000000,33
9339,1000000,34
9339,1000000,35
9339,1000000,37
9339,1000000,38
9339,1000000,39
9339,1000000,40
9339,1000000,41
9339,1000000,42
9339,1000000,43
9339,1000000,44
9339,1000000,45
9339,1000000,46
9339,1000000,47
9339,1000000,48
9339,1000000,49
9339,1000000,50
9339,1000000,51
9339,1000000,53
9339,1000000,54
9339,1000000,55
9339,1000000,56
9339,1000000,57
9339,1000000,58
9339,1000000,59
9339,1000000,60
